Band,On Air ID,Area Served,Callsign,Frequency(kHz),Purpose,Polarisation,Antenna Height (m),Antenna Pattern,Maximum ERP (W),Maximum CMF (V),Transmitter Power (W),Technical Specification Number,Licence Number,Site Id,Site Name,Zone,Easting,Northing,Latitude,Longitude,State,BSL,Licence Area,Licence Area ID,Hours of Operation,Status
AM,ABC Western Queensland,Charleville,4CH,603,National,V,125,DA,,1300,10000,10003860,1150337,151496,4CH Site Mitchell Hwy 19km N of CHARLEVILLE,55,430296,7095801,26 15 20S,146 18 07E,QLD,,,,,Issued
AM,4VL,Charleville,4VL,918,Commercial,V,75,OD,,440,2000,4186001,1384943,151491,Broadcast Site 2km NW of CHARLEVILLE,55,422003,7080003,26 23 52S,146 13 04E,QLD,10218,CHARLEVILLE RA1,460,night-time,Issued
AM,4VL,Charleville,4VL,918,Commercial,V,75,OD,,490,2500,4186001,1384943,151491,Broadcast Site 2km NW of CHARLEVILLE,55,422003,7080003,26 23 52S,146 13 04E,QLD,10218,CHARLEVILLE RA1,460,day-time,Issued
AM,4GC,Charters Towers,4GC,828,Commercial,V,30,OD,,315,1000,4172001,1384947,19986,MF Broadcast Site New Queens Road CHARTERS TOWERS,55,425556,7780952,20 04 01S,146 17 17E,QLD,4172,CHARTERS TOWERS RA1,448,,Issued
AM,ABC Radio National,Christmas Island,6ABCRN,1422,Retransmission,V,34,OD,,220,500,10005569,1151609,150584,Broadcast Site Phosphate Hill CHRISTMAS ISLAND,48,574791,8846591,10 26 00S,105 41 00E,WA,,,,,Issued
AM,Zinc 666,Cloncurry,4LM,693,Commercial,V,45,OD,,220,500,10003732,1385063,20184,4LM Site CLONCURRY,54,447800,7711200,20 41 52S,140 29 55E,QLD,10224,MT ISA RA1,453,,Issued
AM,2DU,Cobar,2DU,972,Commercial,V,45,OD,,175,300,10004319,1385044,11141,Broadcast Site 2 km South of COBAR,55,389400,6512500,31 31 01S,145 50 06E,NSW,10249,DUBBO RA1,366,,Issued
AM,Radio 639,Coffs Harbour,2HC,639,Commercial,V,170,DA,,1265,5000,1759001,1384986,8014,Broadcast Site 3 km N of Urunga RALEIGH,56,503000,6628900,30 28 19S,153 01 52E,NSW,1759,COFFS HARBOUR RA1,365,,Issued
AM,3CS,Colac,3CS,1134,Commercial,V,73,DA,,1000,5000,4149001,1384956,150769,Broadcast Site ROSSMOYNE,54,721601,5755202,38 19 25S,143 32 05E,VIC,4149,COLAC RA1,817,,Issued
AM,Radio West,Collie,6TZ,1134,Commercial,V,57,OD,,450,2000,10002336,1385042,151142,Broadcast Site 4 km ESE of COLLIE,50,424901,6307301,33 22 14S,116 11 33E,WA,10404,BUNBURY RA1,486,,Issued
AM,SBS Radio,Cooma,2XL,918,Commercial,V,81,OD,,445,2000,4138001,1384988,150905,Broadcast Site Airfield 2 km E of COOMA,55,693101,5987298,36 14 23S,149 08 56E,NSW,4138,COOMA RA1,388,,Issued
AM,ABC South East NSW,Cooma,2CP,1602,National,V,24,OD,,70,50,4009001,1198587,150907,Broadcast Site COOMA,55,691932,5988501,36 13 45S,149 08 08E,NSW,,,,,Issued
AM,ABC Riverina,Corowa,2CO,675,National,V,55,OD,,960,10000,10003515,1198571,150931,Broadcast Site COROWA,55,447525,6020628,35 57 25S,146 25 05E,NSW,,,,,Issued
AM,ABC Central West NSW,Cumnock,2CR,549,National,V,198,OD,,2900,50000,10004201,1198567,151166,Broadcast Site CUMNOCK,55,659896,6354575,32 56 07S,148 42 37E,NSW,,,,,Issued
AM,4VL,Cunnamulla,4VL,1584,Commercial,V,63,OD,,140,200,4186002,1384944,151396,Broadcast Site 5km S of CUNNAMULLA,55,371503,6889500,28 06 49S,145 41 30E,QLD,10218,CHARLEVILLE RA1,460,,Issued
AM,ABC Midwest & Wheatbelt,Dalwallinu,6DL,531,National,V,213,OD,,1395,10000,10005453,1198469,31334,Broadcast Site DALWALLINU,50,462300,6649000,30 17 24S,116 36 29E,WA,,,,,Issued
AM,ABC Radio National,Dalwallinu,6RN,612,National,V,213,OD,,1395,10000,10005454,1198476,31334,Broadcast Site DALWALLINU,50,462300,6649000,30 17 24S,116 36 29E,WA,,,,,Issued
AM,ABC Radio National,Darwin,8RN,657,National,V,40,OD,,450,2000,10003323,1198399,1332,Broadcast Site Douglas St LUDMILLA,52,700940,8625700,12 25 31S,130 50 54E,NT,,,,,Issued
AM,,Darwin,,1242,HPON,V,40,OD,,450,2000,10003408,1153482,1332,Broadcast Site Douglas St LUDMILLA,52,700940,8625700,12 25 31S,130 50 54E,NT,,,,,Issued
AM,2QN,Deniliquin,2QN,1521,Commercial,V,102,OD,,600,2000,10003518,1385035,150954,Broadcast Site 11 km SSW of DENILIQUIN,55,310899,6055400,35 37 37S,144 54 42E,NSW,10407,DENILIQUIN RA1,382,,Issued
AM,ABC Kimberley,Derby,6DB,873,National,V,40,OD,,640,2000,10001760,1198488,32290,MF Broadcast Site DERBY,51,571003,8081098,17 21 16S,123 40 05E,WA,,,,,Issued
AM,7AD,Devonport,7AD,900,Commercial,V,57,OD,,440,2000,4218001,1384940,34166,Broadcast Site Bass Hwy DON HILL,55,442125,5442777,41 09 50S,146 18 36E,TAS,4218,DEVONPORT RA1,489,,Issued
AM,2DU,Dubbo,2DU,1251,Commercial,V,90,OD,,605,2000,10004229,1385043,10941,Broadcast Site 6 km ESE of Dubbo EULOMOGO,55,657806,6428114,32 16 21S,148 40 32E,NSW,10249,DUBBO RA1,366,,Issued
AM,4HI,Dysart,4HI,945,Commercial,V,63,DA,,500,1000,10007819,1385061,151640,Broadcast Site 2 km NE of DYSART,55,640405,7503097,22 34 22S,148 21 56E,QLD,4176,EMERALD RA1,450,,Issued
AM,ABC Wide Bay,Eidsvold,4QO,855,National,V,137,OD,,1200,10000,4043001,1198664,151526,4QO AM Tx Site EIDSVOLD,56,311011,7188379,25 24 34S,151 07 16E,QLD,,,,,Issued
AM,4HI,Emerald,4HI,1143,Commercial,V,134,DA,,900,5000,10007798,1385060,151591,Broadcast Site 5 km SE of EMERALD,55,622405,7395803,23 32 36S,148 11 57E,QLD,4176,EMERALD RA1,450,,Issued
AM,ABC Capricornia,Emerald,4QD,1548,National,V,95,OD,,2790,50000,4040001,1198670,17878,4QD Tower EMERALD,55,617277,7404942,23 27 40S,148 08 53E,QLD,,,,,Issued
AM,Radio West,Esperance,6SE,747,Commercial,V,84,DA,,950,5000,10001341,1385036,30185,Esperance Radio Myrup Rd Shark Lake 10km North of Esperance ESPERANCE,51,395801,6262597,33 46 17S,121 52 28E,WA,10335,ESPERANCE RA1,485,,Issued
AM,ABC Esperance,Esperance,6ED,837,National,V,62,OD,,670,1000,10001307,1198486,30219,Broadcast Site Coolgardie Esperance Hwy 13.5 km N of Esperance ESPERANCE,51,394298,6264499,33 45 15S,121 51 31E,WA,,,,,Issued
AM,Red FM,Exmouth,6FMS,747,Commercial,V,87,OD,,300,1000,10001798,1385054,151654,Broadcast Site 3 km S of EXMOUTH,50,203400,7568880,21 57 33S,114 07 41E,WA,10354,REMOTE COMMERCIAL RADIO SERVICE WESTERN ZONE RA1,477,,Issued
AM,ABC North West,Exmouth,6XM,1188,National,V,87,OD,,484,2000,10001801,1198491,151622,Broadcast Site 3 km S of EXMOUTH,50,203400,7568705,21 57 39S,114 07 41E,WA,,,,,Issued
AM,ABC Northern Tasmania,Fingal,7FG,1161,National,V,76,DA,,535,1000,4086001,1150206,33465,Broadcast Site Esk Main Rd FINGAL,55,572763,5384199,41 41 25S,147 52 27E,TAS,,,,,Issued
AM,6FX,Fitzroy Crossing,6FX,936,Community,V,80,OD,,705,5000,10000981,1154651,570680,Transmitter Site Eight Mile Mill Turnoff 19.8km SE of FITZROY CROSSING,51,783172,7970967,18 19 56S,125 40 45E,WA,10034,FITZROY CROSSING RA1,514,,Issued
AM,,Geelong,,1341,HPON,V,0,DA,,500,5000,10010059,1306086,41340,Broadcast Site Portarlington LEOPOLD,55,277360,5771700,38 10 30S,144 27 29E,VIC,,,,,Issued
AM,ABC Midwest & Wheatbelt,Geraldton,6GN,828,National,V,70,OD,,960,10000,10000590,1198485,151378,Broadcast Site Fig Tree Crossing 15 km NE of GERALDTON,50,275700,6827294,28 39 43S,114 42 17E,WA,,,,,Issued
AM,Spirit,Geraldton,6BAY,1512,s212 Retransmission,V,49,OD,,705,0,10010003,1156331,153130,Broadcast Site MORAWA,50,394195,6758210,29 18 02S,115 54 38E,WA,,,,,Issued
AM,Zinc 927,Gladstone,4CC,927,Commercial,V,78,DA,,1045,5000,4171001,1384949,151574,Broadcast Site 2km SW of GLADSTONE,56,320695,7360028,23 51 39S,151 14 21E,QLD,4171,ROCKHAMPTON RA1,456,,Issued
AM,ABC New England North West,Glen Innes,2GL,819,National,V,142,OD,,1350,10000,4011001,1198578,6941,Broadcast Site 1 GLEN INNES,56,380581,6703617,29 47 31S,151 45 52E,NSW,,,,,Issued
AM,4CA,Gordonvale,4EL,954,Commercial,V,33,OD,,180,350,10007448,1385021,39466,Broadcast Site Vohland Rd GORDONVALE,55,378201,8105000,17 08 10S,145 51 17E,QLD,4170,CAIRNS RA1,507,,Issued
AM,,Gosford,,801,HPON,V,0,DA,,1350,5000,8315001,1156586,40584,Broadcast Site 15 km NE of Gosford CHITTAWAY POINT,56,357100,6311200,33 19 43S,151 27 52E,NSW,,,,,Issued
AM,ABC Radio National,Goulburn,2RN,1098,National,V,60,OD,,140,200,1550001,1198579,40491,Broadcast Site GOULBURN,55,746761,6151665,34 44 50S,149 41 43E,NSW,,,,,Issued
AM,2GN,Goulburn,2GN,1368,Commercial,V,55,OD,,440,2000,4112001,1384960,40585,Broadcast Site 2 km West of GOULBURN,55,746800,6151700,34 44 48S,149 41 45E,NSW,4112,GOULBURN RA1,369,,Issued
AM,ABC North Coast NSW,Grafton,2NR,738,National,V,154,OD,,2790,50000,4018001,1198576,151355,Broadcast Site LAWRENCE,56,511069,6737309,29 29 36S,153 06 51E,NSW,,,,,Issued
AM,2GF,Grafton,2GF,1206,Commercial,V,58,DA,,1010,5000,4111001,1385011,151352,Broadcast Site SWAN CREEK,56,498296,6718101,29 40 01S,152 58 56E,NSW,4111,GRAFTON RA1,368,,Issued
